,Label	Tweet
0,Non_HS	RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO
1,Non_HS	RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.
2,Non_HS	Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT
3,"Non_HS	""Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026"""
4,Non_HS	RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM
5,"Non_HS	""@felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????"""
6,Non_HS	@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md
7,Non_HS	Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun
8,"Non_HS	""Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well."""
9,"Non_HS	""Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU"""
10,"Non_HS	""Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')"""
11,"Non_HS	""Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj"""
12,Non_HS	Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e
13,Non_HS	Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr
14,Non_HS	Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah
15,"Non_HS	""Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX"""
16,"Non_HS	""Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya."""
17,Non_HS	Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz
18,"Non_HS	""Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO"""
19,Non_HS	HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN
20,"Non_HS	""Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk"""
21,Non_HS	Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9
22,Non_HS	Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R
23,Non_HS	Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R
24,Non_HS	Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(
25,Non_HS	Iya aja deh dripada hoax...
26,Non_HS	Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693
27,Non_HS	jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho
28,Non_HS	Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono
29,Non_HS	Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama
30,Non_HS	Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT
31,Non_HS	Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader #DebatFinalPilkadaJKT
32,Non_HS	Ahok: mari berlomba program #DebatFinalPilkadaJKT
33,Non_HS	#DebatFinalPilkadaJKT aduh... Kecewa pertanyaan paslon 1....
34,Non_HS	RT @agusdansylvi: #DebatFinalPilkadaJKT Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.
35,Non_HS	RT @JTmor: Ahok pilihan terbaik untuk Jakarta
36,Non_HS	RT @augustfrankto: #DebatFinalPilkadaJKT Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..
37,Non_HS	Mantap pak AHOK #DebatFinalPilkadaJKT
38,Non_HS	Ahok gagah kaya gatot kaca! #DebatFinalPilkadaJKT
39,Non_HS	Telaaaakkk nomer satuuuu. Nghahahaha #DebatFinalPilkadaJKT
40,Non_HS	Lomba adu program #DebatFinalPilkadaJKT #SkakSilvi
41,Non_HS	#DebatFinalPilkadaJKT Denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih.
42,Non_HS	DEBAT CAGUB DKI ke 3 - 10 Februari 2017 - Segmen 3 Mantap Ahok SKAK Sylviana Murni\n\n#DebatFinalPilkadaJKT
43,Non_HS	Pertanyaan Ibu Silvy rada maksa.. #DebatFinalPilkadaJKT
44,"Non_HS	""Tanggal 15, pas pilkada nanti sy gak akan milih siapa-siapa ah!"""
45,"Non_HS	""Saya pribadi bakal prefer kok muslim dengan kapabilitas, tetapi lihat kondisinya Ahok menjadi pilihan plg realistis buat kemajuan DKI"""
46,"Non_HS	""Yang mendukung Mas Anies bukan berarti anti Pak Ahok, begitu Pula sebaliknya"""
47,Non_HS	Spanduk Tolak Salatkan Pembela Penista Agama juga Muncul di Kalibata https:\/\/t.co\/Sr1PbYtigN
48,Non_HS	#DebatFinalPilkadaJKT Telak banget anjir ngakak!
49,Non_HS	Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT
50,Non_HS	RT @deelestari: Akhirnya nggak ngantuk lagi! Yeay! #DebatFinalPilkadaJKT
51,Non_HS	Duh dibilang ga punya program paslon 1... kesian kesian kesian ... #debatfinalpilkadajkt
52,"Non_HS	""Tuntut Keadilan Bagi Penista Agama, Puluhan Jawara Betawi Ikuti Aksi 212 Jilid II https:\/\/t.co\/HWVuoZyYov"""
53,Non_HS	Keras nih ahok #DebatFinalPilkadaJKT
54,Non_HS	Paslon 3 Anies Sandiaga Uno 15 Feb 2017 Utk Jakarta Indonesia Raya OK OCE
55,Non_HS	Sesuai namanya: RONDE FINAL\n\n#DebatFinalPilkadaJKT
56,"Non_HS	""Mendagri Tambah Pusing, Ketika MA Emoh Keluarkan Fatwa Status Gubernur Penista Agama https:\/\/t.co\/J34aMQiMNi"""
57,Non_HS	Tolong adu program
58,Non_HS	Genderang perang makin kencang #DebatFinalPilkadaJKT
59,Non_HS	Mpok sylvi udah mulai emosi \ud83d\ude02\n #DebatFinalPilkadaJKT
